,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
0,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
11,0Pw89E5ah5yuXtLm9yQ24t,0.214,0.0125,6,-33.141,1,0.037,0.976,0.848,0.375,0.0389,82.824,127074,4,Alaskan Tapes,Notes,https://p.scdn.co/mp3-preview/1e5b12d6ff81345d139a881bc33f4de82cb81564?cid=1f08b74262ce473390052367a2428089,-1,2
12,3rKCZIXrsC7T6XPJhXKAQJ,0.0621,0.0402,5,-29.003,1,0.055,0.784,0.855,0.113,0.0362,69.037,161379,4,Lugar,State of Unreality,https://p.scdn.co/mp3-preview/a41958096811cd68f8dffcc3a30e0c5049724fd3?cid=1f08b74262ce473390052367a2428089,-1,2
13,6RuFOroO9VO0aMGEzirLHk,0.175,0.00759,7,-35.072,1,0.0454,0.974,0.925,0.113,0.0838,70.872,133500,4,Najma Wallin,Med slutna ögon,https://p.scdn.co/mp3-preview/5b797585d7b120428dc4893f26d1ec6e4005a516?cid=1f08b74262ce473390052367a2428089,-1,2
14,0BFGPgLej2COqSzwxKmpkU,0.296,0.0318,3,-29.544,1,0.0377,0.972,0.965,0.128,0.181,178.746,106214,4,Nils August Valentin,Endless Sky,https://p.scdn.co/mp3-preview/9346d69c22466722f6d127665422d70d9ee1611f?cid=1f08b74262ce473390052367a2428089,-1,2
15,4wwtlq6dqi0ztt989n4yiQ,0.24,0.00495,7,-33.827,1,0.0385,0.995,0.892,0.146,0.0962,70.405,161000,5,Tine Mydland,Et øyeblikk,https://p.scdn.co/mp3-preview/4801399897e0adb3acec007a7c70bd064a8e7cdb?cid=1f08b74262ce473390052367a2428089,-1,2
16,4vF5CLuFgNo6o3Rt2FrNoA,0.0664,0.00692,10,-33.73,0,0.0434,0.981,0.937,0.108,0.072,73.711,188000,4,Scintillante,Sdraiata accanto a me,https://p.scdn.co/mp3-preview/23fe59e5d3588e6e1ba4805d994cc54cd4eb8cbd?cid=1f08b74262ce473390052367a2428089,-1,2
17,7kgNuTgyO9T26DGV6aXptE,0.146,0.198,0,-20.648,1,0.0408,0.888,0.882,0.0824,0.0333,79.937,491147,4,Liquid Mind,Renewal,https://p.scdn.co/mp3-preview/97e52d0311e3100e7a4cdf6d2dadf8d69dee1e2c?cid=1f08b74262ce473390052367a2428089,-1,2
18,0RVsJTnSwdLQ6F8ruukszk,0.186,0.00308,3,-36.144,1,0.0448,0.986,0.879,0.112,0.0396,96.221,168000,4,Sanja Göransson,Sömn,https://p.scdn.co/mp3-preview/02dfb3317dbda52173f00025f65e3e6877e79021?cid=1f08b74262ce473390052367a2428089,-1,2
19,7map9ciIR1obUQ4dOKo9IY,0.164,0.00569,9,-35.348,1,0.0445,0.936,0.934,0.0954,0.163,73.934,168250,3,Elise Ryen,Kritagya,https://p.scdn.co/mp3-preview/2073fd51f2f2430635116d2a48e96b7459e17501?cid=1f08b74262ce473390052367a2428089,-1,2
20,4LRV7mkO2L1yBVhmbDvdqV,0.28,0.118,9,-23.946,0,0.0361,0.619,0.914,0.107,0.104,89.866,153833,4,Zims Ele,Purity,https://p.scdn.co/mp3-preview/f0f27ad180c7d2228c9fcd17c82b7d2c8ff54019?cid=1f08b74262ce473390052367a2428089,-1,2
21,4vOHJJO8fJudz8JVVG9av6,0.113,0.0413,5,-29.786,1,0.0432,0.946,0.886,0.103,0.152,78.745,155202,4,Modal Colours,Moment To Moment,https://p.scdn.co/mp3-preview/d067847192073328c8c1a4187bcca730c6538948?cid=1f08b74262ce473390052367a2428089,-1,2
22,0IazKTDsOeV4v3NfILh3LW,0.102,0.028,0,-37.166,1,0.0573,0.942,0.964,0.1,0.0587,67.272,190957,3,Laila Wollo,Arnasa,https://p.scdn.co/mp3-preview/a70cd821d42f55457caa29f7625333e5d3624249?cid=1f08b74262ce473390052367a2428089,-1,2
23,5nrX2dmftdOXdhdGqdF9V8,0.206,0.0344,5,-29.487,1,0.045,0.905,0.809,0.144,0.0579,70.484,188964,4,Savannah De Lucia,Pacific,https://p.scdn.co/mp3-preview/61c334dd3de2fc8c88ba955e91cef793409ac494?cid=1f08b74262ce473390052367a2428089,-1,2
24,6OTCHM8icoVQmWYdULItOz,0.163,0.0094,2,-33.708,1,0.0354,0.987,0.874,0.104,0.138,72.478,162783,3,Unwritten Skies,Hopeful,https://p.scdn.co/mp3-preview/e4961aefda219b51b192d3714a1b6c1a47a5d146?cid=1f08b74262ce473390052367a2428089,-1,2
25,17dxXweuShPwv4eXAqJMXz,0.0999,0.0273,11,-31.428,1,0.0405,0.91,0.66,0.11,0.117,68.322,165802,3,Quinn Joshua,Sedate Dawn,https://p.scdn.co/mp3-preview/c3412161d85833aa623a99372edd6b01389009f2?cid=1f08b74262ce473390052367a2428089,-1,2
26,5pGG0eGQcA71HLo4jKQY90,0.0709,0.0235,0,-34.208,1,0.0408,0.964,0.904,0.0853,0.0519,75.607,199250,3,Månvarv,Nattljus,https://p.scdn.co/mp3-preview/fef96dd075525f48cc6de8b9352cf083fdb54f32?cid=1f08b74262ce473390052367a2428089,-1,2
27,4sfOO8SiLK78BqfpDYMdGX,0.0707,0.0116,2,-35.147,1,0.0447,0.987,0.937,0.0773,0.189,76.12,187833,4,Nadine Gaertner,Lost For Words,https://p.scdn.co/mp3-preview/d021c8b1b8fa9fee837898a30962201ea78d1efe?cid=1f08b74262ce473390052367a2428089,-1,2
28,02uEjuRG2GnzUVvyL0KWro,0.148,0.00157,0,-36.877,1,0.0392,0.995,0.859,0.114,0.121,69.889,211162,1,Xavier Ortando,Old Station Atmos,https://p.scdn.co/mp3-preview/c9bce2a5e22e6cea277c5e832a604639eeea6053?cid=1f08b74262ce473390052367a2428089,-1,2
29,5IRmwahDW9Du2lJMpCHeFj,0.17,0.0907,4,-27.98,1,0.0402,0.944,0.676,0.0947,0.032,124.083,238095,4,Emotional Pleasure,Norm and Mirza,https://p.scdn.co/mp3-preview/a8f093153a111920e7453a9938c5e9e9bc640084?cid=1f08b74262ce473390052367a2428089,-1,2
30,69zMzxv7BgdLXTauZvOCm3,0.104,0.00391,9,-36.7,1,0.0409,0.992,0.848,0.1,0.0929,78.275,186500,4,Kaua Correia,Leticia,https://p.scdn.co/mp3-preview/88b954af9141d80f9415415c2432243b3167896a?cid=1f08b74262ce473390052367a2428089,-1,2
31,6m9JbPIC8saBo8pVm08x0j,0.292,0.0803,4,-25.197,1,0.0372,0.943,0.909,0.109,0.067,68.611,182765,4,Hector Warrens,Moments of Stillness,https://p.scdn.co/mp3-preview/c3e226bfa8dd12b39e1ea7cbd60df22fada62456?cid=1f08b74262ce473390052367a2428089,-1,2
32,42Rzf70H0cM88EDU5YV0cq,0.144,0.0158,10,-34.45,1,0.0424,0.884,0.834,0.106,0.209,67.858,185920,3,Noa Sandberg,Andas,https://p.scdn.co/mp3-preview/d24f1b267c15fad70ceb9c7cb5caf8412e7515fb?cid=1f08b74262ce473390052367a2428089,-1,2
