,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
67,3s5AvTRhp1fckig3Rts91k,0.829,0.824,9,-7.809,1,0.0476,0.0112,0.00202,0.0965,0.91,121.997,181329,4,Pleasure State,Break Away,https://p.scdn.co/mp3-preview/8a19028d22f00010d51d342122856d86ebfc8e8b?cid=1f08b74262ce473390052367a2428089,-1,1
68,2W9zh4QNFmuOyKHbtYYNm0,0.658,0.333,10,-16.737,1,0.046,0.465,0.905,0.108,0.128,113.991,255789,4,TWO LANES,Another Time,https://p.scdn.co/mp3-preview/8f4ac105842ec98ac0f0912c2751288b10ab1816?cid=1f08b74262ce473390052367a2428089,-1,1
69,4GQ27sK6S5rRnlPmWmlVmz,0.618,0.627,0,-5.862,1,0.0776,0.283,0,0.143,0.403,144.824,179586,4,Grant,Won't Give Up,https://p.scdn.co/mp3-preview/960cb9013262d080661cfc14cc8d6a3fb2136112?cid=1f08b74262ce473390052367a2428089,-1,1
70,78LzgdgeE4gJyk5pIrs1v0,0.649,0.758,7,-5.599,1,0.0325,0.138,0.0189,0.179,0.231,124.025,207215,4,KOLIDESCOPES,Torn,https://p.scdn.co/mp3-preview/31ea51d399d1dcaffa462ecf8ac1a9d05dccdbff?cid=1f08b74262ce473390052367a2428089,-1,1
71,5KQn3B5Zvt6UtYKUuSAunX,0.652,0.803,6,-5.366,1,0.0433,0.0156,1.95e-05,0.0608,0.52,97.053,191443,4,3LAU,Miss Me More,https://p.scdn.co/mp3-preview/c9b1b670ebdb33e15bc27cf877dc79a16b1b8482?cid=1f08b74262ce473390052367a2428089,-1,1
72,5nrWWX2fiR6tsoHVuCE73U,0.762,0.676,3,-7.193,1,0.0662,0.355,0.345,0.11,0.759,119.964,202627,4,David Dann,You & Me,https://p.scdn.co/mp3-preview/08439363708d2cc3b04295a7f04c75b68972db82?cid=1f08b74262ce473390052367a2428089,-1,1
76,03F7FL0pcmVT4W8V8pERCH,0.708,0.772,5,-3.863,1,0.0345,0.0192,7.13e-05,0.145,0.848,123.986,180993,4,David Solomon,Cross Your Mind,https://p.scdn.co/mp3-preview/fb2e4be91c4223501ffb0932a270e6a6c24bcb47?cid=1f08b74262ce473390052367a2428089,-1,1
78,5ihUSA58Ykw7ZPR0aRyMCX,0.721,0.871,1,-5.831,1,0.242,0.469,1.37e-05,0.133,0.731,120.148,147000,4,sanah,Invisible Dress - Maro Music x Skytech Remix - Short Edit,https://p.scdn.co/mp3-preview/051bfefaf1d35f21d5979ba9fd27133b91ca9c69?cid=1f08b74262ce473390052367a2428089,-1,1
79,5aFD0QPy4BQqUq39l0o5HD,0.73,0.398,11,-13.638,0,0.0465,0.096,0.0458,0.0933,0.419,121.944,288880,4,Lemon & Herb,Forget You,https://p.scdn.co/mp3-preview/11f542b9e45faaca1b328777cde2f81df49179ee?cid=1f08b74262ce473390052367a2428089,-1,1
80,2SarJa9ShYlxXMm3YPTmdP,0.498,0.755,7,-4.862,0,0.0776,0.328,0,0.143,0.442,123.63,217016,4,Don Diablo,Believe,https://p.scdn.co/mp3-preview/9e73330352c880bb10ccdfcf6ffeeb7ef61c61f0?cid=1f08b74262ce473390052367a2428089,-1,1
81,7HYKSR9u50fzaDF3DCI5kO,0.578,0.653,4,-11.451,0,0.0414,0.0225,0.65,0.0801,0.0372,127.016,450464,4,RÜFÜS DU SOL,All I've Got - Mathame Remix,https://p.scdn.co/mp3-preview/22c3cbf446252281d10d40b0156bfeae8d7fca1b?cid=1f08b74262ce473390052367a2428089,-1,1
82,4RYeyNZ7ZlMJqVhoJTvMgp,0.703,0.819,11,-6.579,1,0.0553,0.0203,0.782,0.0712,0.468,100.997,234383,4,Ela Minus,dominique,https://p.scdn.co/mp3-preview/492effeb024f813e8f3e94b0a07f962ce72a9e19?cid=1f08b74262ce473390052367a2428089,-1,1
83,2QEBXYzURjg7nY8FjbBcUt,0.537,0.347,4,-10.245,1,0.0303,0.444,0.00343,0.111,0.0968,110.011,275013,4,Shallou,All Your Days,https://p.scdn.co/mp3-preview/1eb11128221fc14440be3f21fb9f310da417947e?cid=1f08b74262ce473390052367a2428089,-1,1
84,2hnLPBk8Chlfam7qwnJ7Uo,0.405,0.543,5,-8.47,1,0.0333,0.0006,0,0.0956,0.365,180.222,202000,4,Medii,Fall,https://p.scdn.co/mp3-preview/71669ce5b108a73797a568bb8e6176a2576d4df9?cid=1f08b74262ce473390052367a2428089,-1,1
85,00EFWaqXnHZ5smJNsHtnGV,0.394,0.745,8,-6.149,1,0.0451,0.422,0.000872,0.098,0.193,170.017,290824,4,Seven Lions,What’s Done Is Done,https://p.scdn.co/mp3-preview/9c3ced17d1ef626fbabacab5573ca133e97c7380?cid=1f08b74262ce473390052367a2428089,-1,1
86,6RmwFnIqU3Po2QNbTxmEIT,0.624,0.65,6,-6.209,0,0.106,0.156,0,0.238,0.0702,103.998,168767,4,Kaskade,Love Me Like You Used To,https://p.scdn.co/mp3-preview/fe068799cf8d0fcc223f60dd5dc950fa9353affc?cid=1f08b74262ce473390052367a2428089,-1,1
87,3Ng3o442KePLsUOPwql6W7,0.565,0.674,8,-6.098,0,0.0463,0.0248,8.68e-06,0.105,0.254,127.046,170079,4,Nause,Can't Erase,https://p.scdn.co/mp3-preview/2859fa66e061186bbf70ab789d79c2f53faedb1b?cid=1f08b74262ce473390052367a2428089,-1,1
88,3VUwjqEHajKn7LXUAbQU4z,0.463,0.568,7,-5.475,0,0.0519,0.079,0.000112,0.785,0.0532,170.067,263294,4,Synymata,Where Does Love Go,https://p.scdn.co/mp3-preview/d235ca7ec497b2913720be3f700b26af43a09f6a?cid=1f08b74262ce473390052367a2428089,-1,1
89,7eNF3i7lHKtRwlvMfbNu9M,0.744,0.727,6,-5.163,1,0.0877,0.0499,0,0.186,0.596,120.105,209920,4,Le Youth,Stay (feat. Karen Harding),https://p.scdn.co/mp3-preview/29552d719f99357cbe9522cbb66ca950b48f76a7?cid=1f08b74262ce473390052367a2428089,-1,1
90,5G8T8JFhuGVG9aOPLaIzIx,0.676,0.606,0,-5.878,1,0.0382,0.0313,0.00038,0.106,0.113,123.94,222992,4,Autograf,If You Never Loved Me,https://p.scdn.co/mp3-preview/fd1bdc535a0b6a641eb8c63f5b5b8170e114a064?cid=1f08b74262ce473390052367a2428089,-1,1
91,3leIqxLdTlukiuQVrE9B42,0.628,0.932,8,-5.446,0,0.0408,0.0193,0.000116,0.362,0.353,123.961,205161,4,Marcus Santoro,It's Not About You,https://p.scdn.co/mp3-preview/df88effb053cdcdcb14812ed8a2b2f1bf80b4309?cid=1f08b74262ce473390052367a2428089,-1,1
92,5Wg6cZxFJ1xkaWGNUUuIOc,0.567,0.698,5,-6.281,1,0.0389,0.583,0.00607,0.111,0.425,108.108,194196,3,Jubël,4AM,https://p.scdn.co/mp3-preview/399ca616c2bfe65595b99899543a2f76f96fd44f?cid=1f08b74262ce473390052367a2428089,-1,1
93,2PhlrsYp7TSkK96ngbmL38,0.553,0.687,8,-6.4,1,0.034,0.0336,0,0.125,0.278,156.0,161538,4,Matisse & Sadko,Into You,https://p.scdn.co/mp3-preview/eb70f3b6dc0472f3453483e189de29518b67c2ab?cid=1f08b74262ce473390052367a2428089,-1,1
95,0DuZMXIz67N75PijSWwe7k,0.793,0.573,5,-6.833,1,0.0633,0.228,0.00165,0.118,0.422,127.96,149062,4,FR!ES,Missing You,https://p.scdn.co/mp3-preview/032dc1e97f45209a4725478a92475cedb9f97f7c?cid=1f08b74262ce473390052367a2428089,-1,1
96,4muUXLYIrhCXtFsPogjIcn,0.639,0.788,11,-6.965,0,0.0545,0.0146,0.348,0.651,0.399,125.955,213571,4,Sander van Doorn,Temper Temper (feat. ONR),https://p.scdn.co/mp3-preview/1099ade9150a78d2ec2163895ab4113fbb9cf8d7?cid=1f08b74262ce473390052367a2428089,-1,1
