,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
128,1FMO9vqWdCvuRaO6CBelP5,0.412,0.392,5,-15.504,1,0.0435,0.446,0.198,0.116,0.663,171.961,303293,4,"Lafayette Harris, Jr.",Blues for Barry Harris,https://p.scdn.co/mp3-preview/ec9f945679c9c9f8fe787c9a5170b1d802f6f23f?cid=1f08b74262ce473390052367a2428089,1,3
129,6mLWHZHMceU8qX8uQx8k8M,0.325,0.581,8,-7.304,1,0.0358,0.557,0.577,0.0714,0.743,203.994,406213,3,Hegge,Feeling,https://p.scdn.co/mp3-preview/99b36368553cfcbffb636999c6af515c6c261b99?cid=1f08b74262ce473390052367a2428089,1,3
131,253d4aC4Tj6HBzA8mfwcbm,0.603,0.427,0,-11.434,1,0.0328,0.704,0.0263,0.0676,0.627,128.363,331093,4,Seamus Blake,A Little Evil,https://p.scdn.co/mp3-preview/16a449e0a4a7e915d8c1b529316f5a8720449003?cid=1f08b74262ce473390052367a2428089,1,3
132,36FSengmFZRJNe0xaY1GGA,0.487,0.609,10,-14.573,0,0.0271,0.522,0.861,0.12,0.529,91.677,335560,4,Magnus Öström,Happy and the Fall,https://p.scdn.co/mp3-preview/9dd382e253e9939a74b42510cc70d64aa08ee1d9?cid=1f08b74262ce473390052367a2428089,1,3
133,0RpoxmvBTYAE1wvAliVzjK,0.481,0.678,0,-8.01,1,0.0329,0.21,0.00957,0.0869,0.722,131.755,428333,4,Bobby Watson,Keepin' It Real,https://p.scdn.co/mp3-preview/08339da878420248566e31659a1c9f12602e5a49?cid=1f08b74262ce473390052367a2428089,1,3
134,4IBfnogykVhpiDLiQ7OPm0,0.462,0.374,11,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,266415,3,Harald Lassen,How it feels pt. 2,https://p.scdn.co/mp3-preview/ebbf9866a68367109c39538ef2a13bb834548044?cid=1f08b74262ce473390052367a2428089,1,3
136,3WCbw9sxvL9Dblb3vPi2xR,0.538,0.279,3,-15.284,0,0.0321,0.956,0.85,0.0889,0.743,80.928,243047,4,Tiny Stills Quartet,Take Five,https://p.scdn.co/mp3-preview/a224d8af55ff5b903ccdb9fb87359d62855b9795?cid=1f08b74262ce473390052367a2428089,1,3
137,2HyhUHo9i6tsAEjb8Rjvmk,0.609,0.485,5,-10.634,0,0.0348,0.89,0.554,0.1,0.702,112.238,225146,4,Eric Rowland,Soon,https://p.scdn.co/mp3-preview/fd7e2268901fb1c570b1a941fb93907de60663c7?cid=1f08b74262ce473390052367a2428089,1,3
138,418awaNpluyE2Lvoh6lD0p,0.607,0.247,0,-16.756,1,0.0348,0.872,0.891,0.118,0.489,129.944,262000,4,CMC 3,Love Is Here To Stay,https://p.scdn.co/mp3-preview/e91d3bb112448995f442825cb304c8be5ecce218?cid=1f08b74262ce473390052367a2428089,1,3
140,42ZlXHwEqXy9ezOEkd3wOx,0.256,0.516,7,-9.296,1,0.0335,0.0992,0.746,0.373,0.237,101.305,273419,4,William Soovik Grand Finale,Hampus & Anna,https://p.scdn.co/mp3-preview/45c890d13be33b0f72968ed7dc3f1fd8d953d4cf?cid=1f08b74262ce473390052367a2428089,1,3
