id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,binary_label,multiclass_label
3dNa9VYawKGZc2y5dKDDzd,0.801,0.321,2,-15.788,1,0.268,0.67,0.00488,0.111,0.404,61.988,130645,4,-1,1
0gySkOOewOdZtHG8stPEB8,0.618,0.428,7,-8.5,0,0.038,0.592,0,0.192,0.359,142.021,190183,4,-1,1
68gRQeI1JL6ELZ6juJh7N4,0.638,0.583,7,-6.342,1,0.0884,0.203,0,0.0745,0.416,76.507,139402,4,-1,1
0Iu2CYA99TOG61NpKApT6W,0.6,0.21,3,-14.759,1,0.0304,0.909,4.49e-05,0.111,0.229,139.949,148511,4,-1,1
3gk96wClxx6rbSOpxXUc5O,0.632,0.269,1,-11.92,1,0.19,0.912,0,0.121,0.34,85.096,171960,4,-1,1
4h9zIACPZFi3ufyenCrI7n,0.739,0.529,7,-8.381,1,0.0438,0.449,0.0144,0.131,0.0995,88.489,122034,4,-1,1
3LcFNj04sHJson5SIrRPAe,0.67,0.511,0,-7.244,1,0.0609,0.646,3.47e-05,0.316,0.44,124.896,186240,3,-1,1
7K1H5Peem34cxKy40kNFw5,0.685,0.46,0,-7.809,1,0.224,0.675,1.25e-05,0.357,0.596,96.876,93871,3,-1,1
3NllHdYknM2F6UxxGevXWc,0.735,0.32,11,-11.32,1,0.0437,0.528,0.00271,0.215,0.401,132.853,175041,4,-1,1
0nUfclTg8DAwmG6LpcULQg,0.652,0.605,5,-5.934,0,0.0305,0.155,0,0.339,0.528,120.035,220404,4,-1,1
2UmyGp3esNouKw42vwG6b8,0.51,0.229,6,-11.394,1,0.0352,0.86,3.03e-05,0.118,0.107,93.309,175321,4,-1,1
5WLfehqxThzLSk1RJSD2by,0.74,0.664,11,-6.067,1,0.116,0.581,0.000104,0.0985,0.763,80.984,140000,4,-1,1
2X1ooqR6LkToWihJqfgYQh,0.692,0.616,0,-6.311,0,0.0308,0.0724,0.00144,0.118,0.668,97.016,201441,4,-1,1
